,score
0,-13.0
1,-25.000000000000004
2,-17.0
3,-25.0
4,-15.0
5,-29.0
6,-15.0
7,-15.0
8,-14.999999999999998
9,-15.0
10,-21.666666666666668
11,-15.0
12,-25.0
13,-17.0
14,-15.0
15,-30.0
16,-66.0
17,-14.999999999999998
18,-25.0
19,-14.999999999999998
20,-25.0
21,-20.0
22,-14.999999999999998
23,-12.5
24,-12.5
25,-25.0
26,-25.0
27,-23.0
28,-5.0
29,-10.0
30,-23.0
31,-11.666666666666666
32,-22.5
33,-19.0
34,-15.0
35,-21.666666666666668
36,-28.33333333333334
37,-10.0
38,-25.0
39,-21.666666666666668
40,-10.0
41,-16.0
42,-30.0
43,-18.333333333333332
44,-17.5
45,-11.666666666666666
46,-15.0
47,-25.0
48,-70.0
49,-25.0
50,-113.33333333333343
51,-85.0
52,-25.0
53,-106.66666666666674
54,-5.0
55,-10.0
56,-18.333333333333332
57,-175.0
58,-15.0
59,-9.0
60,-126.6666666666668
61,-10.0
62,-92.5
63,-27.0
64,-180.0
65,-15.0
66,-17.0
67,-20.0
68,-25.0
69,-22.5
70,-29.0
71,-15.0
72,-5.0
73,-25.0
74,-8.333333333333334
75,-70.0
76,-113.33333333333343
77,-92.5
78,-15.0
79,-85.0
80,-30.0
81,-9.0
82,-68.0
83,-5.0
84,-23.0
85,-175.0
86,-20.0
87,-116.66666666666677
88,-21.666666666666668
89,-66.0
90,-12.5
91,-35.0
92,-29.0
93,-165.0
94,-25.0
95,-20.0
96,-25.0
97,-5.0
98,-15.0
99,-25.0
100,-25.0
101,-350.0
102,-18.333333333333332
103,-12.5
104,-25.0
105,-31.0
106,-20.0
107,-13.0
108,-29.0
109,-15.0
110,-20.0
111,-15.0
112,-185.0
113,-18.333333333333332
114,-68.0
115,-9.0
116,-21.666666666666668
117,-21.666666666666668
118,-8.333333333333334
119,-21.666666666666668
120,-19.0
121,-15.0
122,-74.0
123,-25.0
124,-25.0
125,-370.0
126,-106.66666666666674
127,-35.0
128,-15.0
129,-20.0
130,-8.333333333333334
131,-17.0
132,-92.5
133,-20.0
134,-20.0
135,-340.0
136,-8.333333333333334
137,-35.0
138,-72.0
139,-226.66666666666626
140,-11.0
141,-15.0
142,-25.0
143,-18.333333333333332
144,-35.0
145,-82.5
146,-64.0
147,-10.0
148,-17.5
149,-22.5
150,-172.5
151,-17.5
152,-185.0
153,-360.0
154,-13.0
155,-25.0
156,-128.0
157,-74.0
158,-68.0
159,-5.0
160,-15.0
161,-20.0
162,-5.0
163,-185.0
164,-18.333333333333332
165,-17.5
166,-21.666666666666668
167,-85.0
168,-80.0
169,-175.0
170,-360.0
171,-10.0
172,-18.333333333333332
173,-76.0
174,-25.000000000000004
175,-25.0
176,-15.0
177,-64.0
178,-25.0
179,-180.0
180,-22.5
181,-85.0
182,-15.0
183,-175.0
184,-25.0
185,-180.0
186,-30.0
187,-11.666666666666666
188,-25.0
189,-10.0
190,-21.0
191,-15.0
192,-126.6666666666668
193,-68.0
194,-15.0
195,-11.666666666666666
196,-15.0
197,-180.0
198,-21.0
199,-18.333333333333332
200,-66.0
201,-5.0
202,-21.666666666666668
203,-66.0
204,-25.0
205,-70.0
206,-17.5
207,-340.0
208,-68.0
209,-11.0
210,-18.333333333333332
211,-223.33333333333294
212,-113.33333333333343
213,-128.0
214,-25.0
215,-340.00000000000034
216,-136.0
217,-20.0
218,-18.333333333333332
219,-68.0
220,-5.0
221,-17.5
222,-64.0
223,-25.0
224,-5.0
225,-370.0
226,-21.666666666666668
227,-32.5
228,-700.0
229,-5.0
230,-18.333333333333332
231,-72.0
232,-72.0
233,-226.66666666666626
234,-19.0
235,-360.0
236,-25.0
237,-72.0
238,-82.5
239,-25.0
240,-5.0
241,-165.0
242,-5.0
243,-15.0
244,-95.0
245,-110.00000000000009
246,-116.66666666666677
247,-62.0
248,-27.5
249,-5.0
250,-5.0
251,-15.0
252,-70.0
253,-17.0
254,-92.5
255,-20.0
256,-5.0
257,-180.0
258,-360.0
259,-136.0
260,-77.5
261,-20.0
262,-20.0
263,-14.999999999999998
264,-175.0
265,-116.66666666666677
266,-15.0
267,-28.33333333333334
268,-720.0
269,-23.0
270,-20.0
271,-20.0
272,-18.333333333333332
273,-72.0
274,-77.5
275,-12.5
276,-21.666666666666668
277,-15.0
278,-126.0
279,-360.0
280,-170.0
281,-21.666666666666668
282,-165.0
283,-21.0
284,-95.0
285,-68.0
286,-72.0
287,-120.00000000000011
288,-77.5
289,-138.0
290,-17.0
291,-355.0
292,-35.0
293,-134.0
294,-110.00000000000009
295,-113.33333333333343
296,-20.0
297,-520.0
298,-345.0
299,-64.0
300,-87.5
301,-30.0
302,-90.0
303,-130.0
304,-78.0
305,-25.000000000000004
306,-76.0
307,-128.0
308,-12.5
309,-8.333333333333334
310,-113.33333333333343
311,-66.0
312,-25.0
313,-350.0
314,-180.0
315,-360.0
316,-123.33333333333346
317,-360.0
318,-360.0
319,-17.0
320,-17.0
321,-345.0
322,-21.0
323,-90.0
324,-226.66666666666626
325,-720.0
326,-110.00000000000009
327,-350.0
328,-106.66666666666674
329,-78.0
330,-350.0
331,-700.0
332,-25.0
333,-82.5
334,-12.5
335,-138.0
336,-17.5
337,-17.5
338,-25.0
339,-196.0
340,-120.00000000000011
341,-700.0
342,-74.0
343,-28.33333333333334
344,-355.0
345,-116.66666666666677
346,-80.0
347,-14.999999999999998
348,-5.0
349,-113.33333333333343
350,-97.5
