,score
0,-20.0
1,-18.333333333333332
2,-20.0
3,-15.0
4,-15.0
5,-20.0
6,-23.0
7,-25.0
8,-13.0
9,-11.0
10,-12.5
11,-32.5
12,-25.0
13,-11.0
14,-19.0
15,-21.666666666666668
16,-5.0
17,0.0
18,-11.0
19,-15.0
20,-15.0
21,-18.333333333333332
22,-20.0
23,-20.0
24,-31.666666666666675
25,-10.0
26,-21.666666666666668
27,-20.0
28,-10.0
29,-18.333333333333332
30,-22.5
31,-50.0
32,-15.0
33,-11.666666666666666
34,-15.0
35,-65.0
36,-15.0
37,-17.5
38,-17.5
39,-21.666666666666668
40,-27.5
41,-18.333333333333332
42,-14.999999999999998
43,-10.0
44,-15.0
45,-25.000000000000004
46,-25.0
47,-23.0
48,-17.5
49,-15.0
50,-5.0
51,-23.0
52,-15.0
53,-7.0
54,-15.0
55,-21.666666666666668
56,-21.666666666666668
57,-20.0
58,-20.0
59,-21.666666666666668
60,-15.0
61,-28.33333333333334
62,-32.5
63,-15.0
64,-15.0
65,-25.0
66,-20.0
67,-35.0
68,-27.0
69,-9.0
70,-25.0
71,-15.0
72,-25.0
73,-15.0
74,-29.0
75,-20.0
76,-25.000000000000004
77,-15.0
78,-25.0
79,-19.0
80,-20.0
81,-15.0
82,-25.0
83,-7.5
84,-15.0
85,-20.0
86,-5.0
87,-5.0
88,-25.0
89,-15.0
90,-31.666666666666675
91,-18.333333333333332
92,-25.0
93,-22.5
94,-29.0
95,-10.0
96,-1.6666666666666667
97,-20.0
98,-13.0
99,-15.0
100,-17.5
101,-25.0
102,-25.0
103,-22.5
104,-21.0
105,-23.0
106,-22.5
107,-27.5
108,-15.0
109,-15.0
110,-30.0
111,-12.5
112,-15.0
113,-25.0
114,-23.0
115,-20.0
116,-25.000000000000004
117,-21.0
118,-15.0
119,-9.0
120,-30.0
121,-19.0
122,-13.0
123,-21.666666666666668
124,-15.0
125,-20.0
126,-25.0
127,-9.0
128,-17.5
129,-20.0
130,-10.0
131,-21.666666666666668
132,-10.0
133,-14.999999999999998
134,-15.0
135,-28.33333333333334
136,-15.0
137,-28.33333333333334
138,-15.0
139,-20.0
140,-35.0
141,-17.5
142,-25.000000000000004
143,-23.0
144,-10.0
145,-21.666666666666668
146,-15.0
147,-20.0
148,-15.0
149,-12.5
150,-13.0
151,-30.0
152,-14.999999999999998
153,-18.333333333333332
154,-5.0
155,-25.0
156,-25.0
157,-20.0
158,-15.0
159,-35.0
160,-11.666666666666666
161,-15.0
162,-17.5
163,-35.0
164,-18.333333333333332
165,-11.666666666666666
166,-13.0
167,-27.0
168,-12.5
169,-25.0
170,-20.0
171,-25.0
172,-13.0
