,score
0,-1
1,0
2,-3
3,-2
4,-2
5,1
6,-1
7,0
8,-2
9,-2
10,-4
11,0
12,-8
13,0
14,-4
15,-1
16,0
17,-2
18,0
19,-2
20,1
21,-4
22,2
23,0
24,2
25,-1
26,-2
27,2
28,-2
29,-1
30,0
31,1
32,1
33,0
34,-1
35,-3
36,0
37,1
38,-2
39,-4
40,-2
41,-1
42,0
43,-3
44,-2
45,2
46,3
47,1
48,0
49,1
50,-1
51,2
52,0
53,-5
54,0
55,-3
56,0
57,-1
58,-2
59,0
60,-1
61,-2
62,-1
63,-1
64,1
65,0
66,-3
67,-1
68,-1
69,-3
70,-1
71,3
72,1
73,-1
74,-4
75,-3
76,-4
77,0
78,-1
79,2
80,1
81,-1
82,0
83,-2
84,-2
85,0
86,1
87,-3
88,1
89,-1
90,1
91,1
92,-1
93,-2
94,2
95,-4
96,-1
97,-4
98,-3
99,-5
100,-3
101,-3
102,-1
103,-2
104,-4
105,6
106,-1
107,1
108,3
109,-3
110,-1
111,-1
112,-1
113,-1
114,1
115,-2
116,-2
117,0
118,-1
119,-4
120,1
121,0
122,-7
123,1
124,1
125,1
126,-1
127,-1
128,1
129,-2
130,-1
131,2
132,-4
133,-1
134,2
135,-2
136,1
137,4
138,-2
139,-2
140,1
141,1
142,-3
143,-1
144,-4
145,0
146,0
147,-1
148,-1
149,1
150,0
151,0
152,-2
153,-1
154,-2
155,1
156,-1
157,-3
158,1
159,-1
160,1
161,1
162,2
163,-1
164,0
165,2
166,1
167,-1
168,-1
169,1
170,0
171,3
172,0
173,-4
174,2
175,-4
176,-1
177,-3
178,-2
179,1
180,-2
181,-3
182,-2
183,-2
184,0
185,0
186,0
187,-1
188,1
189,-6
190,0
191,-2
192,-1
193,2
194,-4
195,0
196,-1
197,-2
198,2
199,-3
200,-3
201,-1
202,-2
203,3
204,-2
205,1
206,-3
207,-1
208,3
209,-1
210,1
211,-5
212,-1
213,0
214,-1
215,1
216,5
217,0
218,2
219,0
220,4
221,-9
222,-1
223,1
224,-1
225,-2
226,0
227,0
228,0
229,2
230,1
231,-1
232,3
233,2
234,2
235,1
236,1
237,4
238,-3
239,2
240,0
241,2
242,1
243,-1
244,3
245,-3
246,0
247,-1
248,-2
249,-3
250,3
251,1
252,0
253,-2
254,-4
255,-1
256,1
257,1
258,-1
259,-2
260,4
261,4
262,-1
263,-5
264,-1
265,-4
266,4
267,1
268,-2
269,-1
270,1
271,0
272,2
273,0
274,3
275,-1
276,-2
277,-4
278,0
279,-4
280,1
281,5
282,-1
283,1
284,-1
285,-1
286,-1
287,-1
288,-1
289,1
290,-1
291,-1
292,2
293,0
294,-3
295,0
296,-3
297,1
298,-1
299,-2
300,1
301,0
302,1
303,1
304,-1
305,3
306,2
307,0
308,4
309,-1
310,1
311,2
312,-1
313,0
314,0
315,0
316,-3
317,0
318,-1
319,1
320,1
321,2
322,0
323,2
324,0
325,1
326,0
327,-3
328,4
329,0
330,1
331,3
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,0
343,0
344,3
345,2
346,1
347,0
348,3
349,0
350,1
351,-2
352,0
353,3
354,1
355,0
356,3
357,0
358,5
359,1
360,2
361,0
362,1
363,1
364,-1
365,2
366,0
367,0
368,2
369,0
370,2
371,1
372,0
373,-1
374,3
375,-3
376,1
377,0
378,1
379,0
380,1
381,1
382,3
383,-1
384,-4
385,0
386,0
387,1
388,5
389,0
390,4
391,-2
392,-6
393,1
394,1
395,0
396,-1
397,2
398,0
399,0
400,-2
401,3
402,-2
403,2
404,0
405,0
406,0
407,-1
408,-1
409,0
410,-1
411,1
412,2
413,2
414,-2
415,5
416,1
417,1
418,0
419,0
420,0
421,-1
422,2
423,1
424,3
425,0
426,1
427,5
428,2
429,0
430,-2
431,3
432,-1
433,2
434,0
435,0
436,-1
437,2
438,1
439,1
440,5
441,0
442,0
443,-1
444,3
445,1
446,4
447,3
448,-1
449,1
450,2
451,1
452,2
453,-1
454,-6
455,-2
456,1
457,1
458,0
459,3
460,0
461,-1
462,4
463,4
464,5
465,0
466,2
467,2
468,-2
469,4
470,1
471,3
472,-1
473,1
474,1
475,1
476,1
477,-1
478,1
479,-1
480,0
481,-1
482,1
483,1
484,1
485,-2
486,3
487,2
488,3
489,0
490,-3
491,1
492,5
493,3
494,2
495,1
496,3
497,1
498,-1
499,3
500,5
501,3
502,4
503,3
504,5
505,-3
506,1
507,3
508,5
509,5
510,0
511,1
512,2
513,2
514,1
515,2
516,1
517,1
518,2
519,-1
520,1
521,0
522,1
523,1
524,1
525,1
526,4
527,-1
528,4
529,2
530,1
531,3
532,1
533,-2
534,0
535,0
536,0
537,6
538,0
539,1
540,2
541,3
542,1
543,-2
544,2
545,-1
546,2
547,0
548,1
549,2
550,2
551,2
552,5
553,0
554,4
555,0
556,-2
557,1
558,2
559,-2
560,1
561,0
562,1
563,1
564,0
565,3
566,0
567,2
568,1
569,1
570,5
571,0
572,0
573,1
574,1
575,2
576,0
577,4
578,1
579,-2
580,0
581,0
582,2
583,-1
584,3
585,0
586,2
587,4
588,3
589,0
590,0
591,3
592,4
593,3
594,-1
595,5
596,0
597,1
598,2
599,5
600,4
601,2
602,0
603,1
604,2
605,0
606,2
607,2
608,2
609,3
610,4
611,0
612,1
613,0
614,1
615,3
616,3
617,3
618,5
619,4
620,0
621,2
622,3
623,3
624,-1
625,5
626,2
627,0
628,1
629,0
630,3
631,1
632,2
633,2
634,0
635,5
636,2
637,0
638,1
639,1
640,4
641,4
642,1
643,3
644,5
645,1
646,0
647,5
648,2
649,4
650,1
651,2
652,1
653,3
654,2
655,2
656,1
657,1
658,2
659,1
660,0
661,3
662,3
663,1
664,0
665,2
666,-3
667,2
668,2
669,3
670,3
671,1
672,1
673,1
674,5
675,2
676,4
677,0
678,3
679,0
680,2
681,2
682,-5
683,0
684,2
685,0
686,4
687,3
688,3
689,-2
690,1
691,2
692,1
693,0
694,4
695,5
696,3
697,5
698,-2
699,1
700,4
701,0
702,5
703,4
704,3
705,1
706,2
707,5
708,-1
709,2
710,0
711,0
712,1
713,0
714,5
715,1
716,0
717,2
718,1
719,4
720,1
721,3
722,5
723,3
724,0
725,-2
726,2
727,5
728,0
729,1
730,1
731,1
732,4
733,1
734,4
735,3
736,1
737,1
738,0
739,5
740,4
741,3
742,4
743,0
744,3
745,0
746,0
747,5
748,4
749,1
750,1
751,4
752,2
753,1
754,4
755,1
756,4
757,2
758,1
759,4
760,1
761,4
762,2
763,2
764,2
765,0
766,0
767,2
768,1
769,5
770,2
771,4
772,2
773,1
774,-1
775,1
776,2
777,4
778,2
779,2
780,3
781,4
782,-1
783,3
784,4
785,1
786,2
787,2
788,0
789,3
790,1
791,4
792,2
793,3
794,-1
795,1
796,3
797,1
798,1
799,1
800,3
801,4
802,2
803,4
804,3
805,5
806,1
807,1
808,5
809,1
810,3
811,4
812,1
813,1
814,3
815,3
816,5
817,0
818,5
819,3
820,1
821,3
822,1
823,2
824,4
825,4
826,3
827,3
828,4
829,2
830,2
831,3
832,0
833,3
834,1
835,1
836,2
837,3
838,5
839,5
840,2
841,0
842,0
843,3
844,3
845,4
846,4
847,1
848,0
849,0
850,1
851,2
852,4
853,1
854,-1
855,1
856,3
857,1
858,1
859,1
860,2
861,1
862,1
863,4
864,1
865,5
866,3
867,2
868,2
869,3
870,3
871,4
872,1
873,0
874,3
875,5
876,3
877,2
878,4
879,1
880,4
881,1
882,3
883,5
884,4
885,0
886,3
887,5
888,2
889,2
890,0
891,4
892,3
893,3
894,1
895,0
896,3
897,4
898,1
899,2
900,5
901,4
902,2
903,5
904,5
905,2
906,3
907,2
908,4
909,2
910,2
911,0
912,4
913,4
914,4
915,1
916,4
917,2
918,5
919,1
920,1
921,4
922,4
923,5
924,3
925,4
926,4
927,2
928,3
929,3
930,4
931,2
932,4
933,1
934,3
935,1
936,3
937,1
938,4
939,2
940,3
941,2
942,3
943,2
944,2
945,3
946,4
947,4
948,1
949,3
950,3
951,4
952,5
953,3
954,2
955,4
956,1
957,4
958,3
959,1
960,2
961,3
962,1
963,1
964,3
965,2
966,5
967,4
968,1
969,4
970,5
971,3
972,3
973,2
974,4
975,5
976,5
977,4
978,3
979,4
980,5
981,5
982,4
983,2
984,0
985,2
986,4
987,5
988,3
989,5
990,2
991,3
992,1
993,3
994,1
995,3
996,4
997,5
998,5
999,1
1000,5
1001,4
1002,3
1003,1
1004,5
1005,4
1006,3
1007,3
1008,4
1009,4
1010,4
1011,3
1012,3
1013,5
1014,3
1015,3
1016,2
1017,3
1018,4
1019,5
1020,4
1021,1
1022,4
1023,2
1024,4
1025,3
1026,4
1027,5
1028,5
1029,5
1030,3
1031,3
1032,4
1033,1
1034,1
1035,5
1036,5
1037,1
1038,5
1039,2
1040,1
1041,1
1042,1
1043,3
1044,1
1045,5
1046,2
1047,4
1048,2
1049,5
1050,4
1051,2
1052,3
1053,5
1054,3
1055,2
1056,3
1057,3
1058,5
1059,1
1060,2
1061,2
1062,2
1063,1
1064,5
1065,3
1066,3
1067,3
1068,5
1069,4
1070,2
1071,2
1072,5
1073,4
1074,1
1075,2
1076,4
1077,3
1078,2
1079,3
1080,3
1081,4
1082,1
1083,2
1084,3
1085,5
1086,1
1087,4
1088,3
1089,3
1090,5
1091,3
1092,1
1093,2
1094,3
1095,2
1096,1
1097,1
1098,2
1099,1
1100,4
1101,4
1102,4
1103,1
1104,2
1105,1
1106,2
1107,3
1108,5
1109,5
1110,1
1111,4
1112,2
1113,2
1114,1
1115,2
1116,2
1117,3
1118,4
1119,3
1120,3
1121,4
1122,1
1123,1
1124,2
1125,4
1126,4
1127,4
1128,2
1129,4
1130,5
1131,2
1132,3
1133,5
1134,1
1135,5
1136,2
1137,1
1138,3
1139,4
1140,1
1141,5
1142,1
1143,1
1144,3
1145,1
1146,3
1147,4
1148,5
1149,3
1150,2
1151,3
1152,2
1153,2
1154,1
1155,3
1156,4
1157,5
1158,3
1159,5
1160,4
1161,3
1162,5
1163,4
1164,3
1165,5
1166,2
1167,3
1168,1
1169,2
1170,2
1171,5
1172,3
1173,4
1174,3
1175,4
1176,1
1177,3
1178,3
1179,1
1180,4
1181,1
1182,1
1183,3
1184,5
1185,1
1186,2
